Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1961","1961","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1962","1962","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1963","1963","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1964","1964","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1965","1965","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1966","1966","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1967","1967","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1968","1968","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1969","1969","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1970","1970","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1971","1971","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1972","1972","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1973","1973","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1974","1974","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1975","1975","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1976","1976","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1977","1977","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1978","1978","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1979","1979","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1980","1980","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1981","1981","","","",""
